invoice_id,customer_id,invoice_date,currency,amount,tax_amount,total_amount,status,payment_method,country
INV1001,C001,2024-01-01,USD,120,12,132,Paid,Card,USA
INV1002,C002,2024-01-02,USD,250,25,275,Paid,Bank Transfer,USA
INV1003,C003,2024-01-03,EUR,180,36,216,Pending,Card,France
INV1004,C004,2024-01-04,GBP,90,18,108,Paid,Wire,UK
INV1005,C005,2024-01-05,USD,300,30,330,Paid,Card,Canada
INV1006,C006,2024-01-06,EUR,75,15,90,Cancelled,Card,Germany
INV1007,C007,2024-01-07,USD,410,41,451,Paid,Bank Transfer,USA
INV1008,C008,2024-01-08,USD,60,6,66,Pending,Card,USA
INV1009,C009,2024-01-09,EUR,140,28,168,Paid,Card,Spain
INV1010,C010,2024-01-10,GBP,220,44,264,Paid,Wire,UK
INV1011,C011,2024-01-11,USD,500,50,550,Paid,Card,USA
INV1012,C012,2024-01-12,EUR,110,22,132,Pending,Bank Transfer,Italy
INV1013,C013,2024-01-13,USD,95,9.5,104.5,Paid,Card,USA
INV1014,C014,2024-01-14,GBP,160,32,192,Cancelled,Wire,UK
INV1015,C015,2024-01-15,USD,275,27.5,302.5,Paid,Card,Canada
INV1016,C016,2024-01-16,EUR,130,26,156,Paid,Card,France
INV1017,C017,2024-01-17,USD,85,8.5,93.5,Pending,Card,USA
INV1018,C018,2024-01-18,USD,620,62,682,Paid,Bank Transfer,USA
INV1019,C019,2024-01-19,EUR,145,29,174,Paid,Card,Germany
INV1020,C020,2024-01-20,GBP,205,41,246,Paid,Wire,UK
INV1021,C021,2024-01-21,USD,330,33,363,Paid,Card,USA
INV1022,C022,2024-01-22,EUR,70,14,84,Pending,Card,Spain
INV1023,C023,2024-01-23,USD,150,15,165,Paid,Bank Transfer,USA
INV1024,C024,2024-01-24,GBP,190,38,228,Cancelled,Wire,UK
INV1025,C025,2024-01-25,USD,440,44,484,Paid,Card,Canada
INV1026,C026,2024-01-26,EUR,210,42,252,Paid,Card,Italy
INV1027,C027,2024-01-27,USD,55,5.5,60.5,Pending,Card,USA
INV1028,C028,2024-01-28,USD,700,70,770,Paid,Bank Transfer,USA
INV1029,C029,2024-01-29,EUR,165,33,198,Paid,Card,France
INV1030,C030,2024-01-30,GBP,125,25,150,Paid,Wire,UK
INV1031,C031,2024-01-31,USD,260,26,286,Paid,Card,USA
INV1032,C032,2024-02-01,EUR,115,23,138,Pending,Card,Germany
INV1033,C033,2024-02-02,USD,340,34,374,Paid,Bank Transfer,USA
INV1034,C034,2024-02-03,GBP,98,19.6,117.6,Paid,Wire,UK
INV1035,C035,2024-02-04,USD,180,18,198,Cancelled,Card,Canada
INV1036,C036,2024-02-05,EUR,240,48,288,Paid,Card,Spain
INV1037,C037,2024-02-06,USD,125,12.5,137.5,Pending,Card,USA
INV1038,C038,2024-02-07,USD,560,56,616,Paid,Bank Transfer,USA
INV1039,C039,2024-02-08,EUR,135,27,162,Paid,Card,Italy
INV1040,C040,2024-02-09,GBP,175,35,210,Paid,Wire,UK
INV1041,C041,2024-02-10,USD,390,39,429,Paid,Card,USA
INV1042,C042,2024-02-11,EUR,88,17.6,105.6,Pending,Card,France
INV1043,C043,2024-02-12,USD,215,21.5,236.5,Paid,Bank Transfer,USA
INV1044,C044,2024-02-13,GBP,145,29,174,Cancelled,Wire,UK
INV1045,C045,2024-02-14,USD,480,48,528,Paid,Card,Canada
INV1046,C046,2024-02-15,EUR,155,31,186,Paid,Card,Germany
INV1047,C047,2024-02-16,USD,72,7.2,79.2,Pending,Card,USA
INV1048,C048,2024-02-17,USD,650,65,715,Paid,Bank Transfer,USA
INV1049,C049,2024-02-18,EUR,195,39,234,Paid,Card,Spain
INV1050,C050,2024-02-19,GBP,230,46,276,Paid,Wire,UK
